Version 3.00 - ICDFMT.DAT

     Name           Hd  Cyl  RW   Pc  Zone SR

d CDC 94155-85 M    08 1024 1024 1024 1024 02
d CDC 94155-86 M    09 0925 0925 0925 0925 02
d CDC 94155-96 M    09 1024 1024 1024 1024 02
d CDC 94155-135 R   09 0960 0960 0960 0960 02
d CDC 94205-51 M    05 0989 0989 0989 0989 02
d CDC 94205-77 R    05 0989 0989 0989 0989 02

d CMI CM-5205       02 0256 0256 0256 0256 02
d CMI CM-5410       04 0256 0256 0256 0256 02
d CMI CM-5616       06 0256 0256 0256 0256 02

d Fuji FK305-26     04 0615 0615 0615 0615 02
d Fuji FK305-39     06 0615 0615 0615 0615 02
d Fuji FK305-39R    04 0615 0615 0615 0615 02
d Fuji FK305-58R    06 0615 0615 0615 0615 02
d Fuji FK308S-39R   04 0615 0615 0615 0615 02
d Fuji FK308S-58R   06 0615 0615 0615 0615 02

d Fujitsu M2226D    06 0615 0615 0615 0615 02
d Fujitsu M2227D    08 0615 0615 0615 0615 02
d Fujitsu M2242AS2  07 0754 0754 0754 0754 02
d Fujitsu M2243AS2  11 0754 0754 0754 0754 02
d Fujitsu M2243T/TR 07 1185 1185 1185 1185 02

d Kyocera 20b/30b   04 0615 0615 0615 0656 02
d Kyocera 20a/30a   04 0616 0616 0616 0656 02

d Lapine LT200      04 0616 0616 0616 0656 02
d Lapine LT300      04 0616 0616 0616 0656 02
d Lapine LT2000     04 0615 0615 0615 0656 02

d MicroSci HH612B   02 0612 0612 0612 0612 02
d MicroSci HH725A   04 0612 0612 0612 0612 02

d MiniScribe 3053   05 1024 1024 1024 1024 02
d MiniScribe 3212   02 0612 0128 0128 0612 02
d MiniScribe 3425   04 0615 0128 0128 0615 02
d MiniScribe 3438   04 0615 0128 0128 0615 02
d MiniScribe 3650   06 0809 0809 0809 0809 02
d MiniScribe 6032   03 1024 1024 1024 1024 02
d MiniScribe 6053   05 1024 1024 1024 1024 02
d MiniScribe 6079   05 1024 1024 1024 1024 02
d MiniScribe 6085   08 1024 1024 1024 1024 02
d MiniScribe 6128   08 1024 1024 1024 1024 02
d MiniScribe 8425   04 0615 0615 0615 0656 02
d MiniScribe 8438   04 0615 0615 0615 0656 02

d MMI M112          04 0306 0306 0128 0340 02
d MMI M125          08 0306 0306 0128 0340 02
d MMI M212          04 0306 0306 0128 0340 02
d MMI M225          08 0306 0306 0128 0340 02
d MMI M312          04 0306 0306 0128 0340 02
d MMI M325          08 0306 0306 0128 0340 02

d NEC D3126         04 0615 0615 0615 0615 02
d NEC D5124         04 0309 0309 0309 0309 02
d NEC D5126         04 0612 0612 0612 0612 02
d NEC D5146         08 0615 0615 0615 0615 02

d NDR340            08 0615 0615 0615 0615 02
d NDR1065           07 0918 0918 0918 0918 02
d NDR1085           08 1024 1024 1024 1024 02
d NDR1105           11 0918 0918 0918 0918 02
d NDR1140           15 0918 0918 0918 0918 02
d NDR2190           15 1224 1224 1224 1224 02

d Oliveti HD561     02 0180 0128 0180 0180 02
d Oliveti HD562     02 0180 0128 0180 0180 02

d PTI PT225         04 0615 0615 0615 0615 02
d PTI PT338         06 0615 0615 0615 0615 02
d PTI PT238R        04 0615 0615 0615 0615 02
d PTI PT357R        06 0615 0615 0615 0615 02

d RMS 503           02 0153 0077 0077 0153 02
d RMS 506           04 0153 0077 0077 0153 02
d RMS 512           08 0153 0077 0077 0153 02

d Rodime 101        02 0192 0096 0000 0192 02
d Rodime 102        04 0192 0096 0000 0192 02
d Rodime 103        06 0192 0096 0000 0192 02
d Rodime 104        08 0192 0096 0000 0192 02
d Rodime 201        02 0321 0132 0000 0321 02
d Rodime 202        04 0321 0132 0000 0321 02
d Rodime 202E       04 0640 0640 0640 0640 02
d Rodime 203        06 0321 0132 0000 0321 02
d Rodime 203E       06 0640 0640 0640 0640 02
d Rodime 204        08 0321 0132 0000 0321 02
d Rodime 204E       08 0480 0480 0480 0480 02
d Rodime 252        04 0612 0612 0612 0612 02
d Rodime 3045       05 0872 0872 0872 0872 02
d Rodime 3055       06 0872 0872 0872 0872 02
d Rodime 5040       03 1224 1224 1224 1224 02
d Rodime 5065       05 1224 1224 1224 1224 02
d Rodime 5090       07 1224 1224 1224 1224 02

d Seagate ST125     04 0615 0615 0615 0615 02
d Seagate ST138     06 0615 0615 0615 0615 02
d Seagate ST138R    04 0615 0615 0615 0615 02
d Seagate ST157R    06 0615 0615 0615 0615 02
d Seagate ST212     04 0306 0306 0306 0306 02
d Seagate ST213     02 0615 0300 0300 0670 02
d Seagate ST225     04 0615 0300 0300 0670 02
